country,num_skills,num_interests,projects,hackathon,achievement,followers,following,likes,status
US,4,5,0,1,1,0,0,0,1
US,4,8,0,2,1,0,0,0,1
US,1,3,0,4,1,0,2,1,0
US,3,3,0,1,1,0,0,0,1
US,6,9,0,4,1,3,4,0,1
UK,1,5,0,7,1,0,0,0,1
US,2,4,0,1,1,2,2,0,1
US,4,2,0,1,1,0,0,0,1
US,3,1,0,1,1,0,0,0,1
US,3,1,0,1,1,0,0,0,0
Unknown,0,0,1,2,3,0,0,0,1
US,12,6,0,1,1,1,0,0,1
US,1,1,0,1,1,2,0,0,1
US,5,1,0,1,1,1,0,0,1
US,3,10,0,1,1,0,0,0,1
US,1,6,0,1,1,0,0,0,0
US,3,4,0,1,1,0,0,0,1
US,6,6,0,1,1,0,0,0,0
US,2,4,0,1,1,0,0,0,1
US,5,7,0,1,1,0,0,0,1
US,3,1,0,1,1,0,0,0,1
US,22,15,0,1,1,0,0,0,1
Unknown,1,0,0,1,1,1,0,0,1
US,3,3,0,1,1,1,1,0,1
US,24,12,5,8,7,6,8,5,0
US,1,2,0,1,1,0,0,0,1
US,6,3,0,1,1,0,0,0,0
US,4,3,0,1,1,1,1,0,1
US,4,7,0,1,1,0,0,0,1
US,4,0,0,1,1,0,0,0,1
US,2,3,0,1,1,0,0,0,1
US,8,15,0,1,1,1,2,0,1
US,10,3,0,1,1,2,2,0,1
US,14,8,0,1,1,0,0,0,1
US,4,1,0,1,1,2,0,0,1
US,9,3,0,1,2,0,0,0,1
US,4,9,0,1,1,0,0,0,1
US,1,7,0,2,1,2,0,0,1
Unknown,5,4,0,4,1,2,2,0,1
US,2,1,1,2,4,1,1,0,1
US,6,3,0,1,1,2,0,0,1
US,5,3,0,5,1,1,0,0,0
Unknown,5,4,1,2,3,4,4,1,1
US,11,0,0,3,2,4,4,0,0
US,2,4,1,4,4,3,0,0,1
US,3,0,2,3,4,1,0,1,1
US,2,2,0,1,1,2,1,0,1
US,1,1,0,1,1,2,1,0,1
US,1,3,1,1,1,2,3,0,1
US,8,3,0,1,1,0,0,0,0
US,7,11,0,2,1,2,4,0,1
US,4,10,0,1,1,1,0,0,1
US,5,2,3,9,9,6,9,6,0
US,6,9,0,2,1,0,0,0,1
US,1,8,0,1,1,1,0,0,1
US,6,10,1,4,4,4,3,1,1
US,7,7,0,2,2,5,14,0,1
